Number, Territory,GDP,K,L
1,Piemonte,113317.00,22.00,1952.10
2,Valle D'Aosta,3847.00,23.00,58.10
3,Lombardia,289471.00,19.00,4515.40
4,Trentino Alto Adige,28976.00,29.00,474.70
5,Veneto,130764.00,22.00,2223.60
6,Friuli Venezia Giulia,31416.00,22.00,558.00
7,Liguria,38661.00,17.00,631.40
8,Emilia Romagna,120656.00,21.00,2033.30
9,Toscana,93870.00,19.00,1643.50
10,Umbria,19275.00,20.00,370.60
11,Marche,36159.00,23.00,708.00
12,Lazio,150680.00,17.00,2414.30
13,Abruzzo,24953.00,23.00,489.20
14,Molise,5563.00,26.00,116.80
15,Campania,89691.00,20.00,1848.10
16,Puglia,63706.00,22.00,1283.40
17,Basilicata,9956.00,28.00,211.80
18,Calabria,31121.00,21.00,642.60
19,Sicilia,77455.00,21.00,1470.70
20,Sardegna,30744.00,26.00,600.50
